date,open,high,low,close,volume
2025-08-12 11:13:00+05:30,1788.0,1788.0,1787.0,1787.0,11
2025-08-12 11:14:00+05:30,1787.0,1787.8,1787.0,1787.8,16
2025-08-12 11:15:00+05:30,1787.8,1787.8,1787.0,1787.1,38
2025-08-12 11:16:00+05:30,1787.1,1789.0,1787.1,1787.5,238
2025-08-12 11:17:00+05:30,1787.5,1789.0,1787.5,1789.0,31
2025-08-12 11:18:00+05:30,1789.0,1790.9,1789.0,1789.9,248
2025-08-12 11:19:00+05:30,1789.9,1791.1,1789.9,1791.1,234
2025-08-12 11:20:00+05:30,1791.4,1792.6,1791.4,1792.4,327
2025-08-12 11:21:00+05:30,1792.4,1792.4,1791.2,1791.2,234
2025-08-12 11:22:00+05:30,1791.2,1792.7,1791.2,1792.3,303
2025-08-12 11:23:00+05:30,1792.3,1792.3,1790.5,1790.7,11
2025-08-12 11:24:00+05:30,1790.9,1792.2,1790.9,1792.2,154
2025-08-12 11:25:00+05:30,1792.2,1792.2,1791.1,1791.1,25
2025-08-12 11:26:00+05:30,1791.6,1792.8,1791.1,1792.0,247
2025-08-12 11:27:00+05:30,1792.0,1792.4,1791.1,1791.9,133
2025-08-12 11:28:00+05:30,1791.9,1792.0,1791.4,1791.4,41
2025-08-12 11:29:00+05:30,1791.4,1793.0,1791.4,1792.9,49
2025-08-12 11:30:00+05:30,1792.8,1793.0,1792.7,1793.0,69
2025-08-12 11:31:00+05:30,1793.0,1793.0,1791.5,1792.3,51
2025-08-12 11:32:00+05:30,1792.3,1792.3,1792.2,1792.2,52
2025-08-12 11:33:00+05:30,1792.2,1792.2,1792.1,1792.1,21
2025-08-12 11:34:00+05:30,1792.1,1792.1,1791.4,1791.8,37
2025-08-12 11:35:00+05:30,1791.8,1791.8,1791.2,1791.8,23
2025-08-12 11:36:00+05:30,1791.8,1791.8,1791.1,1791.1,13
2025-08-12 11:37:00+05:30,1791.1,1792.1,1791.1,1792.1,33
2025-08-12 11:38:00+05:30,1792.1,1792.1,1792.0,1792.0,43
2025-08-12 11:39:00+05:30,1791.9,1792.1,1790.4,1792.1,213
2025-08-12 11:40:00+05:30,1792.1,1792.1,1792.0,1792.0,12
2025-08-12 11:41:00+05:30,1792.0,1792.0,1792.0,1792.0,103
2025-08-12 11:42:00+05:30,1792.0,1793.0,1792.0,1792.9,267
2025-08-12 11:43:00+05:30,1792.9,1793.0,1792.5,1792.9,333
2025-08-12 11:44:00+05:30,1792.9,1793.0,1792.3,1793.0,23
2025-08-12 11:45:00+05:30,1793.0,1793.0,1792.3,1793.0,65
2025-08-12 11:46:00+05:30,1792.7,1793.0,1792.7,1792.9,22
2025-08-12 11:47:00+05:30,1792.9,1792.9,1791.4,1791.4,175
2025-08-12 11:48:00+05:30,1791.4,1792.8,1791.4,1792.1,14
2025-08-12 11:49:00+05:30,1792.1,1792.5,1790.9,1791.9,74
2025-08-12 11:50:00+05:30,1791.9,1792.4,1791.1,1792.4,67
2025-08-12 11:51:00+05:30,1792.3,1792.4,1790.8,1791.9,84
2025-08-12 11:52:00+05:30,1792.2,1792.4,1791.9,1791.9,57
2025-08-12 11:53:00+05:30,1791.9,1792.4,1791.5,1792.4,33
2025-08-12 11:54:00+05:30,1792.4,1792.4,1792.4,1792.4,33
2025-08-12 11:55:00+05:30,1792.4,1792.4,1791.5,1792.3,64
2025-08-12 11:56:00+05:30,1792.3,1792.4,1792.0,1792.0,79
2025-08-12 11:57:00+05:30,1792.0,1793.6,1792.0,1793.5,1796
2025-08-12 11:58:00+05:30,1793.5,1794.6,1793.5,1794.6,395
2025-08-12 11:59:00+05:30,1794.5,1795.7,1793.4,1795.7,587
2025-08-12 12:00:00+05:30,1795.7,1795.7,1794.3,1794.8,93
2025-08-12 12:01:00+05:30,1794.6,1794.6,1794.0,1794.0,14
2025-08-12 12:02:00+05:30,1794.0,1794.5,1793.5,1794.5,22
2025-08-12 12:03:00+05:30,1794.5,1795.0,1794.5,1794.9,72
2025-08-12 12:04:00+05:30,1794.9,1794.9,1794.0,1794.3,39
2025-08-12 12:05:00+05:30,1794.3,1794.3,1794.3,1794.3,12
2025-08-12 12:06:00+05:30,1794.5,1794.7,1794.5,1794.7,14
2025-08-12 12:07:00+05:30,1794.7,1794.7,1793.6,1794.3,102
2025-08-12 12:08:00+05:30,1794.3,1794.8,1794.3,1794.7,31
2025-08-12 12:09:00+05:30,1794.7,1794.8,1794.4,1794.7,22
2025-08-12 12:10:00+05:30,1794.7,1794.7,1794.0,1794.7,15
2025-08-12 12:11:00+05:30,1794.7,1794.7,1794.0,1794.4,59
2025-08-12 12:12:00+05:30,1794.4,1794.4,1794.3,1794.3,16
2025-08-12 12:13:00+05:30,1794.3,1794.3,1793.5,1794.2,57
2025-08-12 12:14:00+05:30,1794.1,1794.9,1794.1,1794.9,409
2025-08-12 12:15:00+05:30,1794.9,1794.9,1794.7,1794.8,47
2025-08-12 12:16:00+05:30,1794.8,1794.8,1793.6,1793.6,12
2025-08-12 12:17:00+05:30,1793.8,1793.9,1793.0,1793.9,538
2025-08-12 12:18:00+05:30,1793.9,1794.4,1793.9,1794.4,18
2025-08-12 12:19:00+05:30,1794.4,1794.9,1794.2,1794.9,2520
2025-08-12 12:20:00+05:30,1794.9,1794.9,1794.2,1794.2,269
2025-08-12 12:21:00+05:30,1793.5,1794.2,1792.0,1793.9,531
2025-08-12 12:22:00+05:30,1793.9,1794.0,1793.9,1794.0,54
2025-08-12 12:23:00+05:30,1794.0,1794.0,1793.6,1794.0,159
2025-08-12 12:24:00+05:30,1794.0,1794.0,1793.9,1794.0,140
2025-08-12 12:25:00+05:30,1794.0,1794.0,1793.8,1793.8,58
2025-08-12 12:26:00+05:30,1793.8,1793.8,1793.2,1793.6,24
2025-08-12 12:27:00+05:30,1793.6,1793.6,1793.1,1793.3,18
2025-08-12 12:28:00+05:30,1793.3,1793.8,1792.3,1793.6,100
2025-08-12 12:29:00+05:30,1793.6,1793.8,1792.8,1793.5,123
2025-08-12 12:30:00+05:30,1793.5,1793.5,1793.3,1793.3,69
2025-08-12 12:31:00+05:30,1793.5,1793.6,1793.5,1793.6,13
2025-08-12 12:32:00+05:30,1793.6,1793.8,1793.6,1793.6,31
2025-08-12 12:33:00+05:30,1793.6,1796.9,1793.6,1796.9,1086
2025-08-12 12:34:00+05:30,1796.9,1796.9,1795.0,1795.0,142
2025-08-12 12:35:00+05:30,1795.0,1796.3,1795.0,1796.3,43
2025-08-12 12:36:00+05:30,1796.3,1797.6,1796.3,1797.6,680
2025-08-12 12:37:00+05:30,1797.6,1797.9,1797.4,1797.8,305
2025-08-12 12:38:00+05:30,1797.8,1797.8,1797.4,1797.6,218
2025-08-12 12:39:00+05:30,1797.6,1797.6,1797.5,1797.5,58
2025-08-12 12:40:00+05:30,1797.5,1797.6,1797.4,1797.5,437
2025-08-12 12:41:00+05:30,1797.5,1797.8,1797.0,1797.8,619
2025-08-12 12:42:00+05:30,1797.8,1797.8,1797.7,1797.8,115
2025-08-12 12:43:00+05:30,1797.8,1797.8,1796.4,1797.4,412
2025-08-12 12:44:00+05:30,1797.4,1797.5,1796.2,1797.5,283
2025-08-12 12:45:00+05:30,1797.5,1797.7,1796.2,1796.9,57
2025-08-12 12:46:00+05:30,1796.9,1796.9,1795.8,1796.9,114
2025-08-12 12:47:00+05:30,1796.9,1796.9,1796.1,1796.8,26
2025-08-12 12:48:00+05:30,1796.9,1796.9,1795.6,1796.0,31
2025-08-12 12:49:00+05:30,1796.0,1796.0,1795.8,1795.8,32
2025-08-12 12:50:00+05:30,1795.8,1796.3,1795.8,1796.0,21
2025-08-12 12:51:00+05:30,1796.3,1796.3,1795.6,1795.6,109
2025-08-12 12:52:00+05:30,1795.6,1795.6,1795.0,1795.5,288
2025-08-12 12:53:00+05:30,1795.5,1795.5,1795.5,1795.5,93
2025-08-12 12:54:00+05:30,1795.5,1796.9,1794.8,1796.9,2759
2025-08-12 12:55:00+05:30,1796.4,1798.0,1796.4,1798.0,877
2025-08-12 12:56:00+05:30,1798.0,1800.7,1798.0,1800.3,1964
2025-08-12 12:57:00+05:30,1800.1,1800.1,1797.9,1797.9,91
2025-08-12 12:58:00+05:30,1797.9,1799.3,1797.9,1798.3,217
2025-08-12 12:59:00+05:30,1798.3,1799.2,1797.6,1798.8,283
2025-08-12 13:00:00+05:30,1799.2,1799.2,1797.9,1798.0,27
2025-08-12 13:01:00+05:30,1798.0,1798.6,1796.6,1797.5,217
2025-08-12 13:02:00+05:30,1797.1,1797.5,1796.0,1797.1,77
2025-08-12 13:03:00+05:30,1797.1,1797.9,1794.1,1794.8,1294
2025-08-12 13:04:00+05:30,1794.8,1795.9,1794.3,1795.9,33
2025-08-12 13:05:00+05:30,1795.9,1796.7,1795.9,1795.9,65
2025-08-12 13:06:00+05:30,1795.9,1795.9,1795.6,1795.9,45
2025-08-12 13:07:00+05:30,1795.9,1796.9,1794.5,1796.9,237
2025-08-12 13:08:00+05:30,1796.7,1796.7,1796.2,1796.6,61
2025-08-12 13:09:00+05:30,1796.6,1797.2,1796.6,1797.2,65
2025-08-12 13:10:00+05:30,1797.2,1797.2,1796.6,1796.6,81
2025-08-12 13:11:00+05:30,1796.5,1796.9,1796.0,1796.8,56
2025-08-12 13:12:00+05:30,1796.9,1796.9,1796.0,1796.4,122
2025-08-12 13:13:00+05:30,1796.4,1796.8,1796.0,1796.8,83
2025-08-12 13:14:00+05:30,1796.8,1796.8,1796.5,1796.7,22
2025-08-12 13:15:00+05:30,1796.7,1796.7,1795.1,1795.7,32
2025-08-12 13:16:00+05:30,1795.7,1796.9,1795.0,1795.1,282
2025-08-12 13:17:00+05:30,1794.5,1795.4,1794.5,1795.3,19
2025-08-12 13:18:00+05:30,1795.3,1795.3,1795.2,1795.3,14
2025-08-12 13:19:00+05:30,1795.3,1795.3,1795.0,1795.0,48
2025-08-12 13:20:00+05:30,1795.0,1795.0,1794.1,1795.0,37
2025-08-12 13:21:00+05:30,1795.0,1795.0,1794.9,1795.0,16
2025-08-12 13:22:00+05:30,1795.0,1795.0,1794.9,1794.9,30
2025-08-12 13:23:00+05:30,1794.9,1795.0,1794.9,1794.9,136
2025-08-12 13:24:00+05:30,1794.9,1795.0,1794.1,1794.6,78
2025-08-12 13:25:00+05:30,1794.6,1794.9,1794.3,1794.3,47
2025-08-12 13:26:00+05:30,1794.3,1794.3,1794.3,1794.3,40
2025-08-12 13:27:00+05:30,1794.3,1794.3,1793.1,1793.9,715
2025-08-12 13:28:00+05:30,1793.9,1794.1,1793.2,1793.9,63
2025-08-12 13:29:00+05:30,1793.9,1794.0,1793.9,1794.0,62
2025-08-12 13:30:00+05:30,1794.0,1794.2,1794.0,1794.2,127
2025-08-12 13:31:00+05:30,1794.2,1794.2,1792.4,1793.4,89
2025-08-12 13:32:00+05:30,1793.5,1794.2,1793.2,1793.5,92
2025-08-12 13:33:00+05:30,1794.1,1794.2,1794.1,1794.2,34
2025-08-12 13:34:00+05:30,1794.2,1794.2,1793.3,1793.6,33
2025-08-12 13:35:00+05:30,1793.6,1794.2,1793.5,1793.6,89
2025-08-12 13:36:00+05:30,1793.6,1794.2,1793.2,1794.1,27
2025-08-12 13:37:00+05:30,1794.2,1794.2,1794.1,1794.2,118
2025-08-12 13:38:00+05:30,1794.3,1794.3,1794.0,1794.1,19
2025-08-12 13:39:00+05:30,1794.3,1794.3,1794.0,1794.3,67
2025-08-12 13:40:00+05:30,1794.3,1794.7,1794.0,1794.4,328
2025-08-12 13:41:00+05:30,1794.4,1794.4,1793.3,1793.3,89
2025-08-12 13:42:00+05:30,1793.5,1793.7,1793.2,1793.2,34
2025-08-12 13:43:00+05:30,1793.2,1793.2,1793.2,1793.2,16
2025-08-12 13:44:00+05:30,1793.2,1793.4,1792.9,1793.0,149
2025-08-12 13:45:00+05:30,1793.0,1793.0,1792.8,1793.0,32
2025-08-12 13:46:00+05:30,1793.0,1793.0,1792.8,1792.8,27
2025-08-12 13:47:00+05:30,1792.8,1793.4,1792.8,1793.3,137
2025-08-12 13:48:00+05:30,1793.3,1793.3,1793.2,1793.2,11
2025-08-12 13:49:00+05:30,1793.2,1793.2,1793.2,1793.2,13
2025-08-12 13:50:00+05:30,1793.2,1793.2,1792.8,1792.8,64
2025-08-12 13:51:00+05:30,1792.8,1792.8,1792.1,1792.6,63
2025-08-12 13:52:00+05:30,1792.6,1792.6,1792.0,1792.5,70
2025-08-12 13:53:00+05:30,1792.5,1792.6,1792.0,1792.6,18
2025-08-12 13:54:00+05:30,1792.6,1792.6,1792.1,1792.1,37
2025-08-12 13:55:00+05:30,1792.1,1792.6,1792.0,1792.5,111
2025-08-12 13:56:00+05:30,1792.5,1792.5,1792.0,1792.0,113
2025-08-12 13:57:00+05:30,1792.0,1792.4,1791.1,1792.2,131
2025-08-12 13:58:00+05:30,1792.2,1792.6,1792.0,1792.1,209
2025-08-12 13:59:00+05:30,1792.8,1793.3,1792.7,1793.0,159
2025-08-12 14:00:00+05:30,1793.2,1793.6,1793.2,1793.6,36
2025-08-12 14:01:00+05:30,1793.6,1793.6,1792.1,1793.0,77
2025-08-12 14:02:00+05:30,1793.0,1793.0,1793.0,1793.0,12
2025-08-12 14:03:00+05:30,1793.0,1793.3,1793.0,1793.1,29
2025-08-12 14:04:00+05:30,1793.1,1793.1,1792.0,1793.1,30
2025-08-12 14:05:00+05:30,1793.1,1793.1,1792.7,1792.7,14
2025-08-12 14:06:00+05:30,1792.7,1793.2,1792.6,1793.2,124
2025-08-12 14:07:00+05:30,1793.9,1794.3,1793.8,1793.8,1048
2025-08-12 14:08:00+05:30,1793.8,1794.2,1793.8,1794.2,89
2025-08-12 14:09:00+05:30,1794.2,1794.2,1793.3,1793.3,77
2025-08-12 14:10:00+05:30,1793.3,1793.4,1791.0,1792.0,362
2025-08-12 14:11:00+05:30,1792.0,1792.5,1791.3,1792.5,34
2025-08-12 14:12:00+05:30,1792.5,1792.5,1791.3,1791.6,48
2025-08-12 14:13:00+05:30,1791.6,1792.1,1791.5,1791.7,156
2025-08-12 14:14:00+05:30,1791.7,1791.9,1790.5,1791.6,509
2025-08-12 14:15:00+05:30,1791.6,1792.0,1790.1,1790.1,662
2025-08-12 14:16:00+05:30,1790.1,1790.8,1789.6,1789.7,1841
2025-08-12 14:17:00+05:30,1790.7,1790.7,1789.6,1789.6,182
2025-08-12 14:18:00+05:30,1789.6,1790.7,1789.6,1790.0,140
2025-08-12 14:19:00+05:30,1790.2,1790.3,1790.0,1790.3,33
2025-08-12 14:20:00+05:30,1790.2,1790.2,1787.9,1789.0,2147
2025-08-12 14:21:00+05:30,1789.0,1789.1,1789.0,1789.1,24
2025-08-12 14:22:00+05:30,1789.5,1789.9,1789.5,1789.7,284
2025-08-12 14:23:00+05:30,1789.7,1789.7,1789.0,1789.4,145
2025-08-12 14:24:00+05:30,1789.4,1790.8,1789.4,1790.4,336
2025-08-12 14:25:00+05:30,1790.5,1792.0,1790.1,1791.6,186
2025-08-12 14:26:00+05:30,1791.7,1791.9,1790.8,1790.8,83
2025-08-12 14:27:00+05:30,1790.8,1791.6,1790.8,1791.4,22
2025-08-12 14:28:00+05:30,1791.6,1791.6,1791.0,1791.1,34
2025-08-12 14:29:00+05:30,1791.7,1792.3,1791.7,1791.7,55
2025-08-12 14:30:00+05:30,1791.8,1791.8,1790.9,1790.9,91
2025-08-12 14:31:00+05:30,1790.9,1791.3,1790.5,1791.3,41
2025-08-12 14:32:00+05:30,1791.3,1791.3,1790.4,1790.5,37
2025-08-12 14:33:00+05:30,1790.5,1790.5,1790.0,1790.3,103
2025-08-12 14:34:00+05:30,1790.3,1790.3,1790.0,1790.0,24
2025-08-12 14:35:00+05:30,1789.7,1789.7,1789.3,1789.3,29
2025-08-12 14:36:00+05:30,1789.3,1789.3,1788.4,1788.5,142
2025-08-12 14:37:00+05:30,1789.3,1789.4,1789.3,1789.4,35
2025-08-12 14:38:00+05:30,1789.4,1791.0,1789.4,1789.7,117
2025-08-12 14:39:00+05:30,1789.7,1792.7,1789.7,1790.7,443
2025-08-12 14:40:00+05:30,1790.7,1791.9,1790.7,1790.9,208
2025-08-12 14:41:00+05:30,1790.9,1791.0,1790.0,1790.5,170
2025-08-12 14:42:00+05:30,1791.0,1791.1,1790.5,1790.7,197
2025-08-12 14:43:00+05:30,1790.7,1791.1,1789.9,1790.7,45
2025-08-12 14:44:00+05:30,1790.7,1790.9,1789.8,1790.9,37
2025-08-12 14:45:00+05:30,1790.9,1790.9,1790.4,1790.5,32
2025-08-12 14:46:00+05:30,1790.5,1790.6,1790.0,1790.0,61
2025-08-12 14:47:00+05:30,1790.0,1790.6,1790.0,1790.0,45
2025-08-12 14:48:00+05:30,1790.1,1790.1,1790.0,1790.1,18
2025-08-12 14:49:00+05:30,1790.1,1790.5,1789.4,1789.4,69
2025-08-12 14:50:00+05:30,1789.4,1789.5,1789.0,1789.5,71
2025-08-12 14:51:00+05:30,1790.4,1790.4,1788.6,1788.6,125
2025-08-12 14:52:00+05:30,1788.9,1788.9,1788.2,1788.2,127
2025-08-12 14:53:00+05:30,1788.2,1788.2,1788.0,1788.2,72
2025-08-12 14:54:00+05:30,1788.2,1788.8,1788.1,1788.2,79
2025-08-12 14:55:00+05:30,1788.2,1788.5,1787.9,1788.3,101
2025-08-12 14:56:00+05:30,1788.3,1788.3,1787.4,1787.9,86
2025-08-12 14:57:00+05:30,1787.9,1788.4,1787.1,1787.1,1070
2025-08-12 14:58:00+05:30,1787.4,1787.4,1785.2,1787.1,1518
2025-08-12 14:59:00+05:30,1787.1,1788.8,1785.5,1787.0,960
2025-08-12 15:00:00+05:30,1787.0,1787.0,1786.1,1786.5,258
2025-08-12 15:01:00+05:30,1786.5,1787.2,1786.4,1787.2,258
2025-08-12 15:02:00+05:30,1787.2,1787.2,1786.7,1786.8,82
2025-08-12 15:03:00+05:30,1786.8,1786.8,1786.3,1786.5,171
2025-08-12 15:04:00+05:30,1786.5,1786.5,1786.3,1786.4,1248
2025-08-12 15:05:00+05:30,1786.4,1787.2,1786.4,1787.2,1084
2025-08-12 15:06:00+05:30,1787.2,1787.2,1786.6,1787.2,315
2025-08-12 15:07:00+05:30,1787.2,1787.3,1786.9,1787.0,260
2025-08-12 15:08:00+05:30,1787.2,1787.4,1787.1,1787.2,290
2025-08-12 15:09:00+05:30,1787.1,1788.3,1787.1,1788.3,671
2025-08-12 15:10:00+05:30,1789.4,1789.8,1788.6,1788.9,694
2025-08-12 15:11:00+05:30,1789.2,1789.7,1787.7,1789.6,742
2025-08-12 15:12:00+05:30,1789.6,1789.7,1788.1,1789.5,179
2025-08-12 15:13:00+05:30,1789.5,1789.5,1788.6,1788.7,277
2025-08-12 15:14:00+05:30,1788.7,1788.8,1788.2,1788.7,74
2025-08-12 15:15:00+05:30,1788.3,1788.9,1788.3,1788.6,437
2025-08-12 15:16:00+05:30,1788.6,1788.6,1788.0,1788.3,219
2025-08-12 15:17:00+05:30,1788.3,1788.3,1787.5,1788.2,585
2025-08-12 15:18:00+05:30,1788.2,1788.2,1787.2,1787.8,590
2025-08-12 15:19:00+05:30,1788.0,1788.1,1787.7,1788.0,331
2025-08-12 15:20:00+05:30,1788.0,1788.0,1787.5,1787.7,926
2025-08-12 15:21:00+05:30,1787.8,1787.8,1787.0,1787.4,642
2025-08-12 15:22:00+05:30,1787.5,1787.5,1787.2,1787.4,876
2025-08-12 15:23:00+05:30,1787.4,1787.4,1787.2,1787.3,301
2025-08-12 15:24:00+05:30,1787.5,1788.1,1787.2,1788.1,770
2025-08-12 15:25:00+05:30,1788.1,1788.1,1787.1,1787.9,155
2025-08-12 15:26:00+05:30,1787.9,1787.9,1787.3,1787.5,350
2025-08-12 15:27:00+05:30,1787.5,1788.5,1787.0,1787.6,2484
2025-08-12 15:28:00+05:30,1787.8,1788.6,1787.0,1787.0,3055
2025-08-12 15:29:00+05:30,1789.4,1789.4,1786.2,1788.2,597
2025-08-13 09:15:00+05:30,1791.9,1799.7,1791.9,1799.0,1328
2025-08-13 09:16:00+05:30,1798.9,1803.0,1798.9,1803.0,1629
2025-08-13 09:17:00+05:30,1801.6,1803.0,1799.8,1801.5,711
2025-08-13 09:18:00+05:30,1801.5,1802.6,1798.2,1798.2,280
2025-08-13 09:19:00+05:30,1800.7,1800.7,1796.5,1798.1,364
2025-08-13 09:20:00+05:30,1798.1,1798.7,1796.0,1796.0,1597
2025-08-13 09:21:00+05:30,1796.5,1799.1,1796.5,1799.1,400
2025-08-13 09:22:00+05:30,1799.0,1799.2,1797.0,1797.0,1299
2025-08-13 09:23:00+05:30,1796.5,1797.0,1794.6,1796.5,442
2025-08-13 09:24:00+05:30,1794.8,1796.8,1794.2,1794.8,190
2025-08-13 09:25:00+05:30,1794.8,1794.9,1794.8,1794.8,130
2025-08-13 09:26:00+05:30,1794.1,1794.1,1792.0,1792.8,607
2025-08-13 09:27:00+05:30,1793.6,1793.9,1792.7,1793.5,440
2025-08-13 09:28:00+05:30,1793.5,1793.6,1793.5,1793.6,691
2025-08-13 09:29:00+05:30,1793.6,1793.6,1792.1,1792.1,408
2025-08-13 09:30:00+05:30,1792.1,1792.8,1790.6,1791.9,746
2025-08-13 09:31:00+05:30,1792.5,1793.6,1791.9,1792.6,613
2025-08-13 09:32:00+05:30,1792.6,1793.6,1791.9,1791.9,5874
2025-08-13 09:33:00+05:30,1791.9,1792.6,1791.9,1791.9,1467
2025-08-13 09:34:00+05:30,1792.4,1792.4,1791.9,1791.9,322
2025-08-13 09:35:00+05:30,1791.9,1792.6,1791.9,1792.6,122
2025-08-13 09:36:00+05:30,1792.6,1792.7,1792.6,1792.7,114
2025-08-13 09:37:00+05:30,1792.7,1792.7,1791.9,1792.7,351
2025-08-13 09:38:00+05:30,1792.7,1793.5,1792.0,1793.5,444
2025-08-13 09:39:00+05:30,1793.5,1795.5,1793.1,1795.5,2316
2025-08-13 09:40:00+05:30,1794.2,1795.8,1794.0,1795.7,556
