symbol,strategy,entry_time,exit_time,actual_entry_close,slippage_entry_price,actual_exit_close,slippage_exit_price,qty,side,pnl,equity
cash_ACC,MovingAverage,2024-08-02 13:39:00,2024-08-02 13:41:00,2452.15,2453.376075,2453.55,2452.323225,50,LONG,-52.642500000001746,-16247.136249998151
cash_ACC,MovingAverage,2024-08-02 14:02:00,2024-08-02 14:10:00,2450.0,2451.225,2449.05,2447.825475,50,LONG,-169.9762499999906,-16417.11249999814
cash_AMBUJACEM,MovingAverage,2024-08-02 14:11:00,2024-08-02 14:13:00,653.1,653.42655,653.0,652.6735,50,LONG,-37.65250000000151,-16454.76499999814
cash_PFIZER,MovingAverage,2024-08-02 14:16:00,2024-08-02 14:17:00,5655.1,5657.92755,5659.5,5656.67025,50,LONG,-62.865000000010696,-16517.62999999815
cash_PFIZER,MovingAverage,2024-08-02 14:23:00,2024-08-02 14:24:00,5660.0,5662.83,5660.0,5657.17,50,LONG,-282.9999999999927,-16800.629999998142
cash_ACC,MovingAverage,2024-08-02 14:24:00,2024-08-02 14:28:00,2441.0,2442.2205,2441.15,2439.9294250000003,50,LONG,-114.55374999998185,-16915.183749998123
cash_PFIZER,MovingAverage,2024-08-02 14:31:00,2024-08-02 14:33:00,5650.8,5653.6254,5650.0,5647.175,50,LONG,-322.5199999999859,-17237.70374999811
cash_ACC,MovingAverage,2024-08-02 14:33:00,2024-08-02 14:34:00,2439.65,2440.8698249999998,2439.55,2438.330225,50,LONG,-126.97999999998046,-17364.68374999809
cash_AMBUJACEM,MovingAverage,2024-08-02 14:28:00,2024-08-02 14:35:00,653.05,653.3765249999999,653.3,652.97335,50,LONG,-20.158749999995962,-17384.842499998085
cash_PFIZER,MovingAverage,2024-08-02 14:35:00,2024-08-02 14:39:00,5650.0,5652.825,5653.15,5650.323425,50,LONG,-125.0787500000115,-17509.921249998097
cash_ACC,MovingAverage,2024-08-02 14:39:00,2024-08-02 14:40:00,2440.1,2441.32005,2439.9,2438.6800500000004,50,LONG,-131.9999999999709,-17641.921249998068
cash_ACC,MovingAverage,2024-08-02 14:41:00,2024-08-02 14:43:00,2439.7,2440.9198499999998,2442.55,2441.3287250000003,50,LONG,20.44375000002674,-17621.47749999804
cash_ACC,MovingAverage,2024-08-02 14:50:00,2024-08-02 14:56:00,2439.8,2441.0199000000002,2439.6,2438.3802,50,LONG,-131.98500000000877,-17753.462499998048
cash_ACC,MovingAverage,2024-08-02 15:08:00,2024-08-02 15:09:00,2434.7,2435.9173499999997,2436.05,2434.8319750000005,50,LONG,-54.268749999960164,-17807.731249998007
cash_ACC,MovingAverage,2024-08-02 15:11:00,2024-08-02 15:12:00,2435.55,2436.7677750000003,2435.2,2433.9824,50,LONG,-139.26875000001928,-17946.99999999803
cash_ACC,MovingAverage,2024-08-02 15:13:00,2024-08-02 15:14:00,2434.45,2435.6672249999997,2433.55,2432.3332250000003,50,LONG,-166.6999999999689,-18113.699999997996
cash_ACC,MovingAverage,2024-08-02 15:16:00,2024-08-02 15:17:00,2431.9,2433.11595,2433.4,2432.1833,50,LONG,-46.632499999986976,-18160.33249999798
cash_ACC,MovingAverage,2024-08-05 09:18:00,2024-08-05 09:19:00,2412.75,2413.9563749999998,2407.6,2406.3962,50,LONG,-378.00874999998086,-18538.34124999796
cash_ACC,MovingAverage,2024-08-05 09:21:00,2024-08-05 09:22:00,2395.0,2396.1974999999998,2389.95,2388.755025,50,LONG,-372.12374999999156,-18910.464999997952
cash_ACC,MovingAverage,2024-08-05 09:29:00,2024-08-05 09:30:00,2387.45,2388.643725,2384.45,2383.257775,50,LONG,-269.2974999999933,-19179.762499997945
cash_ACC,MovingAverage,2024-08-05 09:32:00,2024-08-05 09:33:00,2390.8,2391.9954000000002,2398.0,2396.801,50,LONG,240.27999999998428,-18939.48249999796
cash_PFIZER,MovingAverage,2024-08-05 09:39:00,2024-08-05 09:41:00,5580.0,5582.79,5578.45,5575.660775,50,LONG,-356.4612499999839,-19295.943749997947
